"Link","Musk","Elon Mask","Tesla","Gigafactory"
https://en.wikipedia.org/wiki/Saskatchewan,0,0,0,0,0
https://en.wikipedia.org/wiki/N%C3%A9e,0,0,0,0,0
https://en.wikipedia.org/wiki/Space,0,0,0,0,0
https://en.wikipedia.org/wiki/Friendly_artificial_intelligence,1,0,0,0,1
https://en.wikipedia.org/wiki/Aerospace,0,0,0,0,0
https://en.wikipedia.org/wiki/Compaq,0,0,0,0,0
https://en.wikipedia.org/wiki/Talulah_Riley,23,0,4,0,27
https://en.wikipedia.org/wiki/Dietitian,0,0,0,0,0
https://en.wikipedia.org/wiki/Bachelor%27s_degree,0,0,0,0,0
"https://en.wikipedia.org/wiki/Tesla,_Inc.",205,0,1153,35,1393
https://en.wikipedia.org/wiki/Wikipedia:NOTRS,0,0,0,0,0
https://en.wikipedia.org/wiki/Forbes,0,0,0,0,0
https://en.wikipedia.org/wiki/Queen%27s_University_at_Kingston,5,0,2,0,7
https://en.wikipedia.org/wiki/Philanthropy,0,0,0,0,0
https://en.wikipedia.org/wiki/Elon_Musk,654,0,215,10,879
https://en.wikipedia.org/wiki/University_of_Pennsylvania_School_of_Arts_and_Sciences,0,0,0,0,0
https://en.wikipedia.org/wiki/Lyndon_Rive,12,0,7,0,19
https://en.wikipedia.org/wiki/Tosca_Musk,43,0,3,0,46
https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface,0,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Citing_sources,0,0,0,0,0
https://en.wikipedia.org/wiki/Isaac_Asimov,0,0,0,0,0
https://en.wikipedia.org/wiki/Help:IPA/English,0,0,0,0,0
https://en.wikipedia.org/wiki/Pretoria,2,0,0,0,2
https://en.wikipedia.org/wiki/Sustainable_energy,0,0,0,0,0
https://en.wikipedia.org/wiki/Engineer,0,0,0,0,0
https://en.wikipedia.org/wiki/The_Boring_Company,113,0,10,0,123
https://en.wikipedia.org/wiki/Bryanston_High_School,3,0,0,0,3
https://en.wikipedia.org/wiki/The_World%27s_Billionaires,0,0,0,0,0
https://en.wikipedia.org/wiki/Commodore_VIC-20,0,0,0,0,0
https://en.wikipedia.org/wiki/Video_game,0,0,0,0,0
https://en.wikipedia.org/wiki/Bachelor_of_Arts,0,0,0,0,0
https://en.wikipedia.org/wiki/Computer_programming,0,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy,0,0,0,0,0
https://en.wikipedia.org/wiki/Grimes_(musician),24,0,5,0,29
https://en.wikipedia.org/wiki/PayPal,16,0,4,0,20
https://en.wikipedia.org/wiki/Code,0,0,0,0,0
https://en.wikipedia.org/wiki/Industrial_designer,0,0,0,0,0
https://en.wikipedia.org/wiki/University_of_Pretoria,0,0,0,0,0
https://en.wikipedia.org/wiki/University_of_Pennsylvania,5,0,2,0,7
https://en.wikipedia.org/wiki/EBay,0,0,1,0,1
https://en.wikipedia.org/wiki/Kimbal_Musk,63,0,7,0,70
https://en.wikipedia.org/wiki/Foundation_series,4,0,3,0,7
https://en.wikipedia.org/wiki/Wharton_School_of_the_University_of_Pennsylvania,1,0,0,0,1
https://en.wikipedia.org/wiki/Bachelor_of_Science,0,0,0,0,0
https://en.wikipedia.org/wiki/File:Elon_Musk_Signature.svg,29,0,0,0,29
https://en.wikipedia.org/wiki/Neuralink,40,0,3,0,43
https://en.wikipedia.org/wiki/Hyperloop,69,0,10,0,79
https://en.wikipedia.org/wiki/Computing,0,0,0,0,0
https://en.wikipedia.org/wiki/SpaceX,109,0,14,0,123
https://en.wikipedia.org/wiki/Global_warming,0,0,0,0,0
https://en.wikipedia.org/wiki/Electromechanical_Engineering,0,0,0,0,0
https://en.wikipedia.org/wiki/Forbes_list_of_The_World%27s_Most_Powerful_People,0,0,0,0,0
https://en.wikipedia.org/wiki/South_Africa,0,0,0,0,0
https://en.wikipedia.org/wiki/Colonization_of_Mars,7,0,0,0,7
https://en.wikipedia.org/wiki/BASIC,0,0,0,0,0
https://en.wikipedia.org/wiki/United_States_dollar,0,0,0,0,0
https://en.wikipedia.org/wiki/List_of_Fellows_of_the_Royal_Society_elected_in_2018,1,0,0,0,1
https://en.wikipedia.org/wiki/Pennsylvania_Dutch,0,0,0,0,0
https://en.wikipedia.org/wiki/Maye_Musk,33,0,3,0,36
https://en.wikipedia.org/wiki/Royal_Society,0,0,0,0,0
https://en.wikipedia.org/wiki/Flight_of_stairs,0,0,0,0,0
https://en.wikipedia.org/wiki/X.com,23,0,3,0,26
https://en.wikipedia.org/wiki/Human_extinction,0,0,0,0,0
https://en.wikipedia.org/wiki/Canada,0,0,0,0,0
https://en.wikipedia.org/wiki/SolarCity,43,0,135,11,189
https://en.wikipedia.org/wiki/File:Elon_Musk_Royal_Society.jpg,39,0,3,0,42
https://en.wikipedia.org/wiki/Entrepreneur,0,0,0,0,0
https://en.wikipedia.org/wiki/Confinity,2,0,0,0,2
https://en.wikipedia.org/wiki/Zip2,25,0,4,0,29
https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society,2,0,0,0,2
https://en.wikipedia.org/wiki/Stanford_University,0,0,1,0,1
https://en.wikipedia.org/wiki/OpenAI,39,0,5,0,44
https://en.wikipedia.org/wiki/Justine_Musk,28,0,5,0,33
https://en.wikipedia.org/wiki/Chief_executive_officer,0,0,0,0,0
https://en.wikipedia.org/wiki/Existential_risk,4,0,0,0,4
https://en.wikipedia.org/wiki/Neurotechnology,1,0,0,0,1
https://en.wikipedia.org/wiki/Waterkloof_House_Preparatory_School,1,0,1,0,2
